CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. Rating,Count of Rating
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.465116279,43
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,3.636363636,11
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,3.625,8
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.219178082,73
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.35,60
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.656716418,67
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.485294118,68
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.463414634,41
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.812834225,187
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.791878173,197
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.722543353,173
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.708994709,189
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.762331839,223
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.668202765,217
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.651162791,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.647058824,153
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.646288210,229
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.683937824,193
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.747422680,194
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.730434783,230
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.719745223,157
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.883333333,60
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.805194805,77
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.814814815,108
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.805031447,159
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.826589595,173
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.829268293,164
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.805194805,154
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.809523810,147
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.853107345,177
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.894039735,151
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.841379310,145
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.884210526,190
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.830769231,130
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.614457831,166
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.653631285,179
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.619883041,171
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.633165829,199
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.622009569,209
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.647058824,238
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.703703704,243
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.748878924,223
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.639484979,233
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.654377880,217
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.772972973,185
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.704724409,254
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.711340206,194
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.7,90
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.697674419,129
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.652173913,92
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.723404255,94
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.639344262,122
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.516666667,120
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.703703704,54
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.675675676,74
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.611464968,157
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.625,104
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.739130435,115
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.630769231,130
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.670103093,97
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.617647059,34
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.413043478,46
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.839285714,56
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.541666667,48
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.361702128,47
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.344827586,58
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.534883721,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.5,46
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.549295775,71
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.604166667,48
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.757575758,33
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.644067797,59
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.547619048,42
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2017,NL,CE,4.25,48
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,March 2017,NL,CE,4.411764706,68
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,April 2017,NL,CE,4.4625,80
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,May 2017,NL,CE,4.541176471,85
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,June 2017,NL,CE,4.552,125
