CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. WREC_SCORE,Count of WREC_SCORE
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.944700461,217
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.936046512,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.967320261,153
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.983333333,60
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,1,60
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.974025974,77
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.990740741,108
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.987421384,159
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,1,173
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.993902439,164
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.980519481,154
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.979591837,147
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.961325967,181
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.933734940,166
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.938547486,179
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.947368421,171
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.934673367,199
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.956937799,209
