CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,OH038 WAIKEM HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,4.75,4
Non-Prog,OH041 GANLEY HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.5625,16
Non-Prog,OH041 GANLEY HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.5,16
Non-Prog,OH044 GANLEY WESTSIDE HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.428571429,7
Non-Prog,OH044 GANLEY WESTSIDE HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.625,8
Non-Prog,OH047 PRESTON HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.833333333,6
Non-Prog,OH047 PRESTON HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,4,5
Non-Prog,OH051 RICK CASE HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.5,4
Non-Prog,OH051 RICK CASE HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.461538462,13
Non-Prog,OH053 RON MARHOFER HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,4.1875,16
Non-Prog,OH053 RON MARHOFER HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,4,18
Non-Prog,OH056 GRAHAM HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.333333333,6
Non-Prog,OH056 GRAHAM HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.333333333,3
Non-Prog,OH058 CRESTMONT HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.5,12
Non-Prog,OH058 CRESTMONT HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.642857143,14
Non-Prog,OH060 GREAT LAKES HYUNDAI,Non-Prog,CE5,January 2018,NL,CE,3.823529412,17
Non-Prog,OH060 GREAT LAKES HYUNDAI,Non-Prog,CE5,February 2018,NL,CE,3.6,15
