DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cproct,Cproct
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,2.072538860%,788
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,2.751196172%,859
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,6.211180124%,855
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,6.455399061%,907
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,26.207729469%,1045
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,36.401098901%,993
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,1370
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,1345
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,1289
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,1262
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,1408
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,1364
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,1474
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,1420
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,1406
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,1332
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,1484
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,1326
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,-6.861313869%,1276
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,5.947955390%,1425
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,-3.180760279%,1248
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,10.935023772%,1400
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,-1.5625%,1386
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,-5.718475073%,1286
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,-1.492537313%,1452
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,-6.478873239%,1328
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,-4.907539118%,1337
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,-2.627627628%,1297
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,-11.792452830%,1309
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,13.046757164%,1499
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,-6.347962382%,1195
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2016,,1234
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2016,,1213
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2016,,1171
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2016,,1178
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2016,,1278
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2016,,1208
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2016,,1297
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2016,,1210
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2016,,1321
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2016,,950
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2016,,1225
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2017,,1032
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2017,-28.282009724%,885
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2017,-12.860676010%,1057
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2017,-7.600341588%,1082
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2017,14.346349745%,1347
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2017,-3.599374022%,1232
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2017,1.324503311%,1224
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2017,0.693909021%,1306
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2017,7.520661157%,1301
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2017,0.227100681%,1324
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2017,26.631578947%,1203
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2017,5.469387755%,1292
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2018,24.709302326%,1287
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2018,14.915254237%,1017
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,721
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,763
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,806
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,740
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,854
