CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.754601227,163
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.722222222,36
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.607594937,79
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.75,72
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.683453237,139
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.489130435,92
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2017,NL,CE,4.609756098,41
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,March 2017,NL,CE,4.489361702,47
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,April 2017,NL,CE,4.478260870,46
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,May 2017,NL,CE,4.540983607,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,June 2017,NL,CE,4.538461538,78
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,July 2017,NL,CE,4.475409836,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,August 2017,NL,CE,4.6,80
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,September 2017,NL,CE,4.343283582,67
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,October 2017,NL,CE,4.2,15
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,November 2017,NL,CE,4.45,40
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,December 2017,NL,CE,4.545454545,44
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2018,NL,CE,4.375,88
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2018,NL,CE,4.796296296,54
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,February 2017,NL,CE,4.615384615,52
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,March 2017,NL,CE,4.785714286,56
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,April 2017,NL,CE,4.707317073,41
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,May 2017,NL,CE,4.652173913,46
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,June 2017,NL,CE,4.571428571,56
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,July 2017,NL,CE,4.714285714,56
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,August 2017,NL,CE,5,7
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,September 2017,NL,CE,4.941176471,68
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,October 2017,NL,CE,4.857142857,7
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,November 2017,NL,CE,4.3125,32
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,December 2017,NL,CE,4.875,16
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,January 2018,NL,CE,4.737704918,61
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,February 2018,NL,CE,4.615384615,39
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,February 2017,NL,CE,4.75,80
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,March 2017,NL,CE,4.641025641,78
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,April 2017,NL,CE,4.797468354,79
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,May 2017,NL,CE,4.584905660,106
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,June 2017,NL,CE,4.658536585,82
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,July 2017,NL,CE,4.571428571,112
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,August 2017,NL,CE,4.472527473,91
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,September 2017,NL,CE,4.466666667,135
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,October 2017,NL,CE,4.709677419,31
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,November 2017,NL,CE,4.559322034,59
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,December 2017,NL,CE,4.5,52
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,January 2018,NL,CE,4.477064220,109
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,February 2018,NL,CE,4.544117647,68
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,February 2017,NL,CE,4.446808511,94
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,March 2017,NL,CE,4.522935780,109
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,April 2017,NL,CE,4.542857143,70
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,May 2017,NL,CE,4.855855856,111
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,June 2017,NL,CE,4.572815534,103
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,July 2017,NL,CE,4.705882353,136
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,August 2017,NL,CE,4.767741935,155
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,September 2017,NL,CE,4.801418440,141
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,October 2017,NL,CE,4.78125,32
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,November 2017,NL,CE,4.796296296,108
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,December 2017,NL,CE,4.709302326,86
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,January 2018,NL,CE,4.767857143,224
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,February 2018,NL,CE,4.803738318,107
