CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELY_SCORE,Count of TIMELY_SCORE
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.974025974,77
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.931034483,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.958333333,24
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,1,53
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,1,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,1,10
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.872727273,55
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.882978723,94
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.944954128,109
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.828571429,70
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.954954955,111
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.883495146,103
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.933823529,136
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.974193548,155
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.964539007,141
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.939393939,33
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.972222222,144
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.936305732,157
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.897435897,39
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2017,NL,CE,1,65
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2017,NL,CE,0.977272727,88
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,March 2017,NL,CE,0.975308642,81
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,April 2017,NL,CE,0.960526316,76
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,May 2017,NL,CE,0.971830986,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,June 2017,NL,CE,0.989690722,97
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,July 2017,NL,CE,1,73
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,August 2017,NL,CE,1,118
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,September 2017,NL,CE,0.971830986,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,October 2017,NL,CE,1,29
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,November 2017,NL,CE,0.955056180,89
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,December 2017,NL,CE,1,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2018,NL,CE,1,21
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.890756303,119
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.86,100
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.882716049,162
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.816513761,109
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.879032258,124
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.852040816,196
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.948529412,136
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.913705584,197
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.926380368,163
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.918918919,37
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.955357143,112
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.9453125,128
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,1,24
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2017,NL,CE,1,32
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2017,NL,CE,0.975609756,41
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,March 2017,NL,CE,0.914893617,47
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,April 2017,NL,CE,0.934782609,46
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,May 2017,NL,CE,0.950819672,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,June 2017,NL,CE,0.910256410,78
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,July 2017,NL,CE,0.950819672,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,August 2017,NL,CE,0.9375,80
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,September 2017,NL,CE,0.895522388,67
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,October 2017,NL,CE,0.823529412,17
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,November 2017,NL,CE,0.981481481,54
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,December 2017,NL,CE,0.942028986,69
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2018,NL,CE,0.857142857,14
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.846153846,39
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.754716981,53
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.872727273,55
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.789473684,38
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.765957447,47
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.830508475,59
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.860465116,43
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.727272727,11
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.875,8
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.75,20
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.910714286,56
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.923076923,65
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,0.928571429,14
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.929347826,184
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.967741935,186
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.934010152,197
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.953488372,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.925925926,189
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.968325792,221
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.949308756,217
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.918604651,172
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.927007299,137
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.94,50
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.911111111,180
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.932642487,193
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,0.931818182,44
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.983050847,59
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,1,60
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,1,77
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.944444444,108
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.974358974,156
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.965116279,172
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.987804878,164
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.980519481,154
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.970802920,137
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.975609756,41
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.979310345,145
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.979310345,145
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,1,23
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.95,180
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.939759036,166
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.943820225,178
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.918128655,171
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.939393939,198
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.932692308,208
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.949579832,238
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.958847737,243
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.971698113,212
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.921568627,51
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.913461538,208
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.929347826,184
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,0.913043478,46
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.977011494,87
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.966292135,89
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.9453125,128
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.934782609,92
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.957446809,94
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.967213115,122
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.95,120
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.944444444,54
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.942857143,70
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.984126984,63
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.931372549,102
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.973214286,112
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,0.823529412,17
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.904761905,42
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.970588235,34
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.934782609,46
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.946428571,56
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.916666667,48
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.914893617,47
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.844827586,58
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.953488372,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.976744186,43
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,0.9,10
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,0.977777778,45
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,0.969696970,33
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,0.888888889,9
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,January 2017,NL,CE,0.873417722,79
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2017,NL,CE,0.791666667,48
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,March 2017,NL,CE,0.852941176,68
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,April 2017,NL,CE,0.860759494,79
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,May 2017,NL,CE,0.857142857,84
