CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RECO_BRAND_SCORE,Count of RECO_BRAND_SCORE
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.566666667,30
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,October 2017,NL,CE,3.923076923,26
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,November 2017,NL,CE,4.453125,64
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,December 2017,NL,CE,4.591836735,49
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,January 2018,NL,CE,4.503703704,135
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2018,NL,CE,4.528735632,87
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.823529412,17
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.386363636,44
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.56,25
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.240963855,83
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.516129032,62
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.491525424,59
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.474576271,118
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.571428571,98
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.502463054,203
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.660714286,112
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,October 2017,NL,CE,5,2
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,November 2017,NL,CE,4.428571429,14
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,December 2017,NL,CE,4.333333333,3
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,January 2018,NL,CE,4.666666667,21
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,February 2018,NL,CE,4.272727273,11
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.769230769,13
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.607142857,28
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.68,25
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.735294118,68
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.763157895,38
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,October 2017,NL,CE,4.928571429,14
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,November 2017,NL,CE,5,10
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,December 2017,NL,CE,4.210526316,19
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,January 2018,NL,CE,4.763157895,38
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,February 2018,NL,CE,4.6875,16
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,October 2017,NL,CE,4.538461538,13
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,November 2017,NL,CE,4.653846154,26
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,December 2017,NL,CE,4.793103448,29
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.775510204,49
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.583333333,24
