DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,17.187112904%,150610.19
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,38.983129839%,165509.45
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,2.290457754%,145024.24
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,6.864210919%,169065.85
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,5.840888364%,145045.56
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,-5.731375034%,146378.69
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,-15.269156636%,116959.05
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,21.476395461%,164825.15
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,-0.202722849%,151387.27
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-25.487115083%,114284.48
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,-5.760907763%,137595.04
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,-4.858741538%,121881.28
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,146368.38
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,168274.04
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,182456
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,166564.06
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,205224.84
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,155881.44
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,179615.01
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,181706.12
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,199453.79
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,172046.19
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,181051.69
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,190901.63
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,21.060429855%,177194.19
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,30.212824272%,219114.38
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,1.289160126%,184808.15
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,26.460882378%,210638.38
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-11.319375374%,181994.67
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,14.948655850%,179183.62
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,12.121475817%,201387
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,6.721490724%,193919.48
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,-6.045986893%,187394.84
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,24.263362066%,213790.38
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,2.774042043%,186074.14
